TeamPID,TeamID,PlayerID,Teams,ShortName,PlayerName,Specialism,Country
TP0001,T001,P0011,Chennai Super Kings,CSK,Adam Milne,Bowler,New Zealand
TP0002,T001,P0037,Chennai Super Kings,CSK,Ambati Rayudu,Wicket Keeper,India
TP0003,T001,P0103,Chennai Super Kings,CSK,C Hari Nishaanth,Batsman,India
TP0004,T001,P0116,Chennai Super Kings,CSK,Chris Jordan,All Rounder,England
TP0005,T001,P0136,Chennai Super Kings,CSK,Deepak Chahar,Bowler,India
TP0006,T001,P0140,Chennai Super Kings,CSK,Devon Conway,Batsman,New Zealand
TP0007,T001,P0158,Chennai Super Kings,CSK,Dwaine Pretorius,All Rounder,South Africa
TP0008,T001,P0159,Chennai Super Kings,CSK,Dwayne Bravo,All Rounder,West Indies
TP0009,T001,P0249,Chennai Super Kings,CSK,KM Asif,Bowler,India
TP0010,T001,P0252,Chennai Super Kings,CSK,K Bhagath Varma,All Rounder,India
TP0011,T001,P0307,Chennai Super Kings,CSK,Maheesh Theekshana,Bowler,Sri Lanka
TP0012,T001,P0338,Chennai Super Kings,CSK,Mitchell Santner,All Rounder,New Zealand
TP0013,T001,P0350,Chennai Super Kings,CSK,MS Dhoni,Batsman,India
TP0014,T001,P0353,Chennai Super Kings,CSK,Mukesh Choudhary,Bowler,India
TP0015,T001,P0358,Chennai Super Kings,CSK,N Jagadeesan,Wicket Keeper,India
TP0016,T001,P0397,Chennai Super Kings,CSK,Prashant Solanki,Bowler,India
TP0017,T001,P0436,Chennai Super Kings,CSK,Rajvardhan Hangargekar,All Rounder,India
TP0018,T001,P0444,Chennai Super Kings,CSK,Ravindra Jadeja,All Rounder,India
TP0019,T001,P0456,Chennai Super Kings,CSK,Robin Uthappa,Batsman,India
TP0020,T001,P0466,Chennai Super Kings,CSK,Ruturaj Gaikwad,Batsman,India
TP0021,T001,P0517,Chennai Super Kings,CSK,Shivam Dube,All Rounder,India
TP0022,T001,P0538,Chennai Super Kings,CSK,Simarjeet Singh,Bowler,India
TP0023,T001,P0542,Chennai Super Kings,CSK,Subhranshu Senapati,Batsman,India
TP0024,T001,P0574,Chennai Super Kings,CSK,Tushar Deshpande,Bowler,India
TP0025,T002,P0052,Delhi Capitals,DC,Anrich Nortje,Bowler,South Africa
TP0026,T002,P0070,Delhi Capitals,DC,Ashwin Hebbar,Batsman,India
TP0027,T002,P0110,Delhi Capitals,DC,Chetan Sakariya,Bowler,India
TP0028,T002,P0132,Delhi Capitals,DC,David Warner,Batsman,Australia
TP0029,T002,P0250,Delhi Capitals,DC,K S Bharat,Wicket Keeper,India
TP0030,T002,P0255,Delhi Capitals,DC,Kamlesh Nagarkoti,All Rounder,India
TP0031,T002,P0271,Delhi Capitals,DC,Khaleel Ahmed,Bowler,India
TP0032,T002,P0278,Delhi Capitals,DC,Kuldeep Yadav,Bowler,India
TP0033,T002,P0289,Delhi Capitals,DC,Lalit Yadav,All Rounder,India
TP0034,T002,P0299,Delhi Capitals,DC,Lungisani Ngidi,Bowler,South Africa
TP0035,T002,P0311,Delhi Capitals,DC,Mandeep Singh,Batsman,India
TP0036,T002,P0337,Delhi Capitals,DC,Mitchell Marsh,All Rounder,Australia
TP0037,T002,P0357,Delhi Capitals,DC,Mustafizur Rahman,Bowler,Bangladesh
TP0038,T002,P0401,Delhi Capitals,DC,Pravin Dubey,All Rounder,India
TP0039,T002,P0407,Delhi Capitals,DC,Prithvi Shaw,Batsman,India
TP0040,T002,P0451,Delhi Capitals,DC,Ripal Patel,All Rounder,India
TP0041,T002,P0452,Delhi Capitals,DC,Rishabh Pant,Batsman,India
TP0042,T002,P0464,Delhi Capitals,DC,Rovman Powell,Batsman,West Indies
TP0043,T002,P0490,Delhi Capitals,DC,Sarfaraz Khan,All Rounder,India
TP0044,T002,P0508,Delhi Capitals,DC,Shardul Thakur,Bowler,India
TP0045,T002,P0552,Delhi Capitals,DC,Syed Khaleel Ahmed,Bowler,India
TP0046,T002,P0568,Delhi Capitals,DC,Tim Seifert,Wicket Keeper,New Zealand
TP0047,T002,P0590,Delhi Capitals,DC,Vicky Ostwal,All Rounder,India
TP0048,T002,P0608,Delhi Capitals,DC,Yash Dhull,All Rounder,India
TP0049,T003,P0007,Gujarat Titans,GT,Abhinav Sadarangani,Batsman,India
TP0050,T003,P0034,Gujarat Titans,GT,Alzarri Joseph,Bowler,West Indies
TP0051,T003,P0080,Gujarat Titans,GT,B Sai Sudarshan,All Rounder,India
TP0052,T003,P0127,Gujarat Titans,GT,Darshan Nalkande,All Rounder,India
TP0053,T003,P0131,Gujarat Titans,GT,David Miller,Batsman,South Africa
TP0054,T003,P0153,Gujarat Titans,GT,Dominic Drakes,All Rounder,West Indies
TP0055,T003,P0177,Gujarat Titans,GT,Gurkeerat Singh,All Rounder,India
TP0056,T003,P0182,Gujarat Titans,GT,Hardik Pandya,All Rounder,India
TP0057,T003,P0225,Gujarat Titans,GT,Jason Roy,Batsman,England
TP0058,T003,P0229,Gujarat Titans,GT,Jayant Yadav,All Rounder,India
TP0059,T003,P0257,Gujarat Titans,GT,Kane Williamson,Batsman,New Zealand
TP0060,T003,P0296,Gujarat Titans,GT,Lockie Ferguson,Bowler,New Zealand
TP0061,T003,P0326,Gujarat Titans,GT,Matthew Wade,Wicket Keeper,Australia
TP0062,T003,P0340,Gujarat Titans,GT,Mohammad Shami,Bowler,India
TP0063,T003,P0376,Gujarat Titans,GT,Noor Ahmad,Bowler,Afghanistan
TP0064,T003,P0393,Gujarat Titans,GT,Pradeep Sangwan,All Rounder,India
TP0065,T003,P0419,Gujarat Titans,GT,R Sai Kishore,Bowler,India
TP0066,T003,P0432,Gujarat Titans,GT,Rahul Tewatia,All Rounder,India
TP0067,T003,P0439,Gujarat Titans,GT,Rashid Khan,Bowler,India
TP0068,T003,P0477,Gujarat Titans,GT,Sai Sudarshan,Batsman,India
TP0069,T003,P0533,Gujarat Titans,GT,Shubman Gill,Batsman,India
TP0070,T003,P0586,Gujarat Titans,GT,Varun Aaron,Bowler,India
TP0071,T003,P0592,Gujarat Titans,GT,Vijay Shankar,All Rounder,India
TP0072,T003,P0605,Gujarat Titans,GT,Wriddhiman Saha,Wicket Keeper,India
TP0073,T003,P0607,Gujarat Titans,GT,Yash Dayal,Bowler,India
TP0074,T004,P0002,Kolkata Knight Riders,KKR,Aaron Finch,Batsman,Australia
TP0075,T004,P0005,Kolkata Knight Riders,KKR,Abhijeet Tomar,Batsman,India
TP0076,T004,P0021,Kolkata Knight Riders,KKR,Ajinkya Rahane,Batsman,India
TP0077,T004,P0031,Kolkata Knight Riders,KKR,Alex Hales,Batsman,England
TP0078,T004,P0035,Kolkata Knight Riders,KKR,Aman Khan,All Rounder,India
TP0079,T004,P0044,Kolkata Knight Riders,KKR,Andre Russell,All Rounder,West Indies
TP0080,T004,P0056,Kolkata Knight Riders,KKR,Anukul Roy,All Rounder,India
TP0081,T004,P0067,Kolkata Knight Riders,KKR,Ashok Sharma,Bowler,India
TP0082,T004,P0082,Kolkata Knight Riders,KKR,Baba Indrajith,Wicket Keeper,India
TP0083,T004,P0108,Kolkata Knight Riders,KKR,Chamika Karunaratne,All Rounder,Sri Lanka
TP0084,T004,P0339,Kolkata Knight Riders,KKR,Mohammad Nabi,All Rounder,Afghanistan
TP0085,T004,P0375,Kolkata Knight Riders,KKR,Nitish Rana,All Rounder,India
TP0086,T004,P0387,Kolkata Knight Riders,KKR,Pat Cummins,All Rounder,Australia
TP0087,T004,P0399,Kolkata Knight Riders,KKR,Pratham Singh,Batsman,India
TP0088,T004,P0438,Kolkata Knight Riders,KKR,Ramesh Kumar,Batsman,India
TP0089,T004,P0440,Kolkata Knight Riders,KKR,Rasikh Dar,Bowler,India
TP0090,T004,P0450,Kolkata Knight Riders,KKR,Rinku Singh,Batsman,India
TP0091,T004,P0478,Kolkata Knight Riders,KKR,Sam Billings,Wicket Keeper,England
TP0092,T004,P0512,Kolkata Knight Riders,KKR,Sheldon Jackson,Wicket Keeper,India
TP0093,T004,P0518,Kolkata Knight Riders,KKR,Shivam Mavi,All Rounder,India
TP0094,T004,P0525,Kolkata Knight Riders,KKR,Shreyas Iyer,Batsman,India
TP0095,T004,P0546,Kolkata Knight Riders,KKR,Sunil Narine,All Rounder,West Indies
TP0096,T004,P0569,Kolkata Knight Riders,KKR,Tim Southee,Bowler,New Zealand
TP0097,T004,P0576,Kolkata Knight Riders,KKR,Umesh Yadav,Bowler,India
TP0098,T004,P0587,Kolkata Knight Riders,KKR,Varun Chakravarty,Bowler,India
TP0099,T004,P0589,Kolkata Knight Riders,KKR,Venkatesh Iyer,All Rounder,India
TP0100,T005,P0045,Lucknow Super Giants,LSG,Andrew Tye,Bowler,Australia
TP0101,T005,P0049,Lucknow Super Giants,LSG,Ankit Singh Rajpoot,Bowler,India
TP0102,T005,P0075,Lucknow Super Giants,LSG,Avesh Khan,Bowler,India
TP0103,T005,P0077,Lucknow Super Giants,LSG,Ayush Badoni,All Rounder,India
TP0104,T005,P0137,Lucknow Super Giants,LSG,Deepak Hooda,All Rounder,India
TP0105,T005,P0157,Lucknow Super Giants,LSG,Dushmanta Chameera,Bowler,Sri Lanka
TP0106,T005,P0162,Lucknow Super Giants,LSG,Evin Lewis,Batsman,West Indies
TP0107,T005,P0224,Lucknow Super Giants,LSG,Jason Holder,All Rounder,West Indies
TP0108,T005,P0245,Lucknow Super Giants,LSG,K Gowtham,All Rounder,India
TP0109,T005,P0248,Lucknow Super Giants,LSG,KL Rahul,Batsman,India
TP0110,T005,P0258,Lucknow Super Giants,LSG,Karan Sharma,All Rounder,India
TP0111,T005,P0276,Lucknow Super Giants,LSG,Krunal Pandya,All Rounder,India
TP0112,T005,P0286,Lucknow Super Giants,LSG,Kyle Mayers,All Rounder,West Indies
TP0113,T005,P0309,Lucknow Super Giants,LSG,Manan Vohra,Batsman,India
TP0114,T005,P0312,Lucknow Super Giants,LSG,Manish Pandey,Batsman,India
TP0115,T005,P0320,Lucknow Super Giants,LSG,Mark Wood,Bowler,England
TP0116,T005,P0331,Lucknow Super Giants,LSG,Mayank Yadav,Bowler,India
