BSID,MatchID,PlayerID,PlayerName,MatchName,HomeTeam,AwayTeam,CurrentInnings,InningsID,Runs,BallsFaced,Fours,Sixes,StrikeRate,NotOut
BS0001,M001,TP0020,Ruturaj Gaikwad,CSK v KKR,CSK,KKR,CSK,1,0,4,0,0,0,FALSE
BS0002,M001,TP0006,Devon Conway,CSK v KKR,CSK,KKR,CSK,1,3,8,0,0,37.5,FALSE
BS0003,M001,TP0019,Robin Uthappa,CSK v KKR,CSK,KKR,CSK,1,28,21,2,2,133.33,FALSE
BS0004,M001,TP0002,Ambati Rayudu,CSK v KKR,CSK,KKR,CSK,1,15,17,1,1,88.23,FALSE
BS0005,M001,TP0018,Ravindra Jadeja,CSK v KKR,CSK,KKR,CSK,1,26,28,0,1,92.85,TRUE
BS0006,M001,TP0021,Shivam Dube,CSK v KKR,CSK,KKR,CSK,1,3,6,0,0,50,FALSE
BS0007,M001,TP0013,MS Dhoni,CSK v KKR,CSK,KKR,CSK,1,50,38,7,1,131.57,TRUE
BS0008,M001,TP0076,Ajinkya Rahane,CSK v KKR,CSK,KKR,KKR,2,44,34,6,1,129.41,FALSE
BS0009,M001,TP0099,Venkatesh Iyer,CSK v KKR,CSK,KKR,KKR,2,16,16,2,0,100,FALSE
BS0010,M001,TP0085,Nitish Rana,CSK v KKR,CSK,KKR,KKR,2,21,17,2,1,123.52,FALSE
BS0011,M001,TP0094,Shreyas Iyer,CSK v KKR,CSK,KKR,KKR,2,20,19,1,0,105.26,TRUE
BS0012,M001,TP0091,Sam Billings,CSK v KKR,CSK,KKR,KKR,2,25,22,1,1,113.63,FALSE
BS0013,M001,TP0092,Sheldon Jackson,CSK v KKR,CSK,KKR,KKR,2,3,3,0,0,100,TRUE
BS0014,M002,TP0140,Rohit Sharma,DC v MI,DC,MI,MI,1,41,32,4,2,128.12,FALSE
BS0015,M002,TP0128,Ishan Kishan,DC v MI,DC,MI,MI,1,81,48,11,2,168.75,TRUE
BS0016,M002,TP0120,Anmolpreet Singh,DC v MI,DC,MI,MI,1,8,9,0,0,88.88,FALSE
BS0017,M002,TP0143,Tilak Varma,DC v MI,DC,MI,MI,1,22,15,3,0,146.66,FALSE
BS0018,M002,TP0132,Kieron Pollard,DC v MI,DC,MI,MI,1,3,6,0,0,50,FALSE
BS0019,M002,TP0144,Tim David,DC v MI,DC,MI,MI,1,12,8,0,1,150,FALSE
BS0020,M002,TP0124,Daniel Sams,DC v MI,DC,MI,MI,1,7,2,0,1,350,TRUE
BS0021,M002,TP0039,Prithvi Shaw,DC v MI,DC,MI,DC,2,38,24,4,2,158.33,FALSE
BS0022,M002,TP0046,Tim Seifert,DC v MI,DC,MI,DC,2,21,14,4,0,150,FALSE
BS0023,M002,TP0035,Mandeep Singh,DC v MI,DC,MI,DC,2,0,2,0,0,0,FALSE
