BWSID,MatchID,PlayerID,PlayerName,MatchName,HomeTeam,AwayTeam,CurrentInnings,InningsID,Overs,Maidens,Conceded,Wickets,EconomyRate,Dots,FoursConceded,SixesConceded,Wides,Noballs
BWS0001,M001,TP0097,Umesh Yadav,CSK v KKR,CSK,KKR,KKR,1,4,0,20,2,5,15,1,1,2,1
BWS0002,M001,TP0093,Shivam Mavi,CSK v KKR,CSK,KKR,KKR,1,4,0,35,0,8.75,12,3,2,1,1
BWS0003,M001,TP0098,Varun Chakravarty,CSK v KKR,CSK,KKR,KKR,1,4,0,23,1,5.75,11,1,1,1,0
BWS0004,M001,TP0095,Sunil Narine,CSK v KKR,CSK,KKR,KKR,1,4,0,15,0,3.75,10,0,0,0,0
BWS0005,M001,TP0079,Andre Russell,CSK v KKR,CSK,KKR,KKR,1,4,0,38,1,9.5,7,5,1,0,0
BWS0006,M001,TP0024,Tushar Deshpande,CSK v KKR,CSK,KKR,CSK,2,3,0,23,0,7.66,9,4,0,0,0
BWS0007,M001,TP0001,Adam Milne,CSK v KKR,CSK,KKR,CSK,2,2.3,0,19,0,7.6,9,2,1,0,0
BWS0008,M001,TP0012,Mitchell Santner,CSK v KKR,CSK,KKR,CSK,2,4,0,31,1,7.75,5,1,1,0,0
BWS0009,M001,TP0008,Dwayne Bravo,CSK v KKR,CSK,KKR,CSK,2,4,0,20,3,5,11,2,0,0,0
BWS0010,M001,TP0021,Shivam Dube,CSK v KKR,CSK,KKR,CSK,2,1,0,11,0,11,1,2,0,0,0
BWS0011,M001,TP0018,Ravindra Jadeja,CSK v KKR,CSK,KKR,CSK,2,4,0,25,0,6.25,8,1,1,0,0
BWS0012,M002,TP0044,Shardul Thakur,DC v MI,DC,MI,DC,1,4,0,47,0,11.75,8,3,4,1,0
BWS0013,M002,TP0031,Khaleel Ahmed,DC v MI,DC,MI,DC,1,4,0,27,2,6.75,13,5,0,0,0
BWS0014,M002,TP0241,Axar Patel,DC v MI,DC,MI,DC,1,4,0,40,0,10,3,4,1,0,0
BWS0015,M002,TP0030,Kamlesh Nagarkoti,DC v MI,DC,MI,DC,1,2,0,29,0,14.5,4,5,1,1,0
BWS0016,M002,TP0032,Kuldeep Yadav,DC v MI,DC,MI,DC,1,4,0,18,3,4.5,8,0,0,0,0
BWS0017,M002,TP0033,Lalit Yadav,DC v MI,DC,MI,DC,1,2,0,15,0,7.5,2,1,0,0,0
BWS0018,M002,TP0124,Daniel Sams,DC v MI,DC,MI,MI,2,4,0,57,0,14.25,4,6,3,2,0
BWS0019,M002,TP0129,Jasprit Bumrah,DC v MI,DC,MI,MI,2,3.2,0,43,0,12.9,4,7,1,0,0
BWS0020,M002,TP0123,Basil Thampi,DC v MI,DC,MI,MI,2,4,0,35,3,8.75,11,2,2,3,0
BWS0021,M002,TP0135,Murugan Ashwin,DC v MI,DC,MI,MI,2,4,0,14,2,3.5,14,1,0,0,0
BWS0022,M002,TP0145,Tymal Mills,DC v MI,DC,MI,MI,2,3,0,26,1,8.66,6,2,1,2,0
BWS0023,M003,TP0166,Sandeep Sharma,PK v RCB,PK,RCB,PK,1,4,0,37,0,9.25,10,4,2,0,0
BWS0024,M003,TP0147,Arshdeep Singh,PK v RCB,PK,RCB,PK,1,4,0,31,1,7.75,11,0,2,3,0
BWS0025,M003,TP0160,Odean Smith,PK v RCB,PK,RCB,PK,1,4,0,52,0,13,9,5,4,1,0
BWS0026,M003,TP0163,Rahul Chahar,PK v RCB,PK,RCB,PK,1,4,0,22,1,5.5,8,0,0,1,0
BWS0027,M003,TP0152,Harpreet Brar,PK v RCB,PK,RCB,PK,1,3,0,38,0,12.66,5,0,4,1,0
BWS0028,M003,TP0157,Liam Livingstone,PK v RCB,PK,RCB,PK,1,1,0,14,0,14,1,0,1,1,0
BWS0029,M003,TP0200,David Willey,PK v RCB,PK,RCB,RCB,2,3,0,28,0,9.33,5,3,1,0,0
BWS0030,M003,TP0211,Mohammed Siraj,PK v RCB,PK,RCB,RCB,2,4,0,59,2,14.75,9,3,4,6,0
BWS0031,M003,TP0212,Shahbaz Ahamad,PK v RCB,PK,RCB,RCB,2,1,0,6,0,6,3,1,0,0,0
BWS0032,M003,TP0196,Akash Deep,PK v RCB,PK,RCB,RCB,2,3,0,38,1,12.66,4,2,3,0,0
BWS0033,M003,TP0217,Wanindu Hasaranga,PK v RCB,PK,RCB,RCB,2,4,0,40,1,10,10,1,4,1,0
BWS0034,M003,TP0205,Harshal Patel,PK v RCB,PK,RCB,RCB,2,4,0,36,1,9,10,1,2,5,0
BWS0035,M004,TP0062,Dushmanta Chameera,GT v LSG,GT,LSG,GT,1,4,0,25,3,6.25,13,4,0,0,0
BWS0036,M004,TP0070,Varun Aaron,GT v LSG,GT,LSG,GT,1,4,0,45,2,11.25,5,6,1,3,0
BWS0037,M004,TP0060,Lockie Ferguson,GT v LSG,GT,LSG,GT,1,4,0,24,0,6,11,1,1,1,0
BWS0038,M004,TP0056,Hardik Pandya,GT v LSG,GT,LSG,GT,1,4,0,37,0,9.25,10,6,1,0,0
BWS0039,M004,TP0067,Rashid Khan,GT v LSG,GT,LSG,GT,1,4,0,27,1,6.75,8,0,2,0,0
BWS0040,M004,TP0105,Dushmanta Chameera,GT v LSG,GT,LSG,LSG,2,3,0,22,2,7.33,11,4,0,1,0
BWS0041,M004,TP0102,Avesh Khan,GT v LSG,GT,LSG,LSG,2,3.4,0,33,1,9,10,5,1,0,0
BWS0042,M004,TP0117,Mohsin Khan,GT v LSG,GT,LSG,LSG,2,2,0,18,0,9,4,3,0,0,0
BWS0043,M004,TP0115,Mark Wood,GT v LSG,GT,LSG,LSG,2,4,0,34,0,8.5,11,3,2,2,0
BWS0044,M004,TP0111,Krunal Pandya,GT v LSG,GT,LSG,LSG,2,4,0,17,1,4.25,12,1,0,0,0
BWS0045,M004,TP0104,Deepak Hooda,GT v LSG,GT,LSG,LSG,2,3,0,31,1,10.33,3,2,2,0,0
BWS0046,M005,TP0221,Bhuvneshwar Kumar,SRH v RR,SRH,RR,SRH,1,4,0,29,1,7.25,14,2,2,1,2
BWS0047,M005,TP0232,Romario Shepherd,SRH v RR,SRH,RR,SRH,1,4,0,33,1,8.25,12,3,2,1,0
BWS0048,M005,TP0238,Umran Malik,SRH v RR,SRH,RR,SRH,1,4,0,39,2,9.75,12,4,2,2,1
BWS0049,M005,TP0240,Washington Sundar,SRH v RR,SRH,RR,SRH,1,3,0,47,0,15.66,3,1,5,0,1
BWS0050,M005,TP0237,T Natarajan,SRH v RR,SRH,RR,SRH,1,4,0,43,2,10.75,8,5,2,2,0
BWS0051,M005,TP0219,Abhishek Sharma,SRH v RR,SRH,RR,SRH,1,1,0,15,0,15,1,1,1,0,0
