FID,MatchID,PlayerID,PlayerName,Runs,BallsFaced,StrikeRate,4s,6s,Against,Venue,Match Date
FID0001,M030,TP0074,Aaron Finch,58,25,207.14,9,2,RR,Brabourne,18-Apr-22
FID0002,M017,TP0219,Abhishek Sharma,75,32,150,5,3,CSK,DY Patil Stadium,9-Apr-22
FID0003,M040,TP0219,Abhishek Sharma,65,33,154.76,6,3,GT,Wankhede Stadium,27-Apr-22
FID0004,M005,TP0220,Aiden Markram,57,39,139.02,5,2,RR,Maharashtra Cricket Association Stadium,29-Mar-22
FID0005,M025,TP0220,Aiden Markram,68,31,188.88,6,4,KKR,Brabourne,15-Apr-22
FID0006,M040,TP0220,Aiden Markram,56,35,140,2,3,GT,Wankhede Stadium,27-Apr-22
FID0007,M038,TP0002,Ambati Rayudu,78,28,200,7,6,PK,Wankhede Stadium,25-Apr-22
FID0008,M008,TP0079,Andre Russell,70,27,225.8,2,8,PK,Wankhede Stadium,1-Apr-22
FID0009,M017,TP0198,Anuj Rawat,66,38,140.42,2,6,MI,Maharashtra Cricket Association Stadium,9-Apr-22
FID0010,M004,TP0103,Ayush Badoni,54,38,131.7,4,3,GT,Wankhede Stadium,28-Mar-22
FID0011,M028,TP0053,David Miller,94,28,184.31,8,6,CSK,Maharashtra Cricket Association Stadium,17-Apr-22
FID0012,M071,TP0053,David Miller,68,35,178.94,3,5,RR,Eden Gardens,24-May-22
FID0013,M019,TP0028,David Warner,61,35,135.55,6,2,KKR,Brabourne,10-Apr-22
FID0014,M026,TP0028,David Warner,66,29,173.68,4,5,RCB,Wankhede Stadium,16-Apr-22
FID0015,M032,TP0028,David Warner,60,26,200,10,1,PK,Brabourne,20-Apr-22
FID0016,M050,TP0028,David Warner,92,34,158.62,12,3,SRH,Brabourne,5-May-22
FID0017,M058,TP0028,David Warner,52,41,126.82,5,1,RR,DY Patil Stadium,11-May-22
FID0018,M004,TP0104,Deepak Hooda,55,36,134.14,6,2,GT,Wankhede Stadium,28-Mar-22
